Date,High,Low,Open,Close,Volume
4/29/13 23:59,147.4880066,134,134.4440002,144.5399933,0
4/30/13 23:59,146.9299927,134.0500031,144,139,0
5/1/13 23:59,139.8899994,107.7200012,139,116.9899979,0
5/2/13 23:59,125.5999985,92.2818985,116.3799973,105.2099991,0
5/3/13 23:59,108.1279984,79.09999847,106.25,97.75,0
5/4/13 23:59,115,92.5,98.09999847,112.5,0
5/5/13 23:59,118.8000031,107.1429977,112.9000015,115.9100037,0
5/6/13 23:59,124.663002,106.6399994,115.9800034,112.3000031,0
5/7/13 23:59,113.4440002,97.69999695,112.25,111.5,0
5/8/13 23:59,115.7799988,109.5999985,109.5999985,113.5660019,0
5/9/13 23:59,113.4599991,109.2600021,113.1999969,112.6699982,0
5/10/13 23:59,122,111.5510025,112.7990036,117.1999969,0
5/11/13 23:59,118.6790009,113.0100021,117.6999969,115.2429962,0
5/12/13 23:59,117.4489975,113.4349976,115.6399994,115,0
5/13/13 23:59,118.6989975,114.5,114.8199997,117.9800034,0
5/14/13 23:59,119.8000031,110.25,117.9800034,111.5,0
5/15/13 23:59,115.8099976,103.5,111.4000015,114.2200012,0
5/16/13 23:59,118.7600021,112.1999969,114.2200012,118.7600021,0
5/17/13 23:59,125.3000031,116.5709991,118.2099991,123.0149994,0
5/18/13 23:59,125.25,122.3000031,123.5,123.4980011,0
5/19/13 23:59,124.5,119.5709991,123.2109985,121.9899979,0
5/20/13 23:59,123.6210022,120.1200027,122.5,122,0
5/21/13 23:59,123,121.2099991,122.0199966,122.8799973,0
5/22/13 23:59,124.0009995,122,122.8899994,123.8889999,0
5/23/13 23:59,126.9339981,123.0999985,123.8000031,126.6999969,0
5/24/13 23:59,133.8500061,125.7190018,126.3000031,133.1999969,0
5/25/13 23:59,133.2189941,128.8999939,133.1000061,131.9799957,0
5/26/13 23:59,136,130.6150055,131.9859924,133.4799957,0
5/27/13 23:59,135.4649963,124.6999969,133.5,129.7449951,0
5/28/13 23:59,130.5800018,125.5999985,129.7700043,129,0
5/29/13 23:59,132.5899963,127.6620026,129,132.3000031,0
5/30/13 23:59,132.25,127,132.25,128.798996,0
5/31/13 23:59,129.8999939,126.4000015,128.798996,129,0
6/1/13 23:59,129.7799988,127.1989975,128.8150024,129.3000031,0
6/2/13 23:59,129.3999939,115.0500031,129.3000031,122.2919998,0
6/3/13 23:59,122.5,116,122.5,122.2220001,0
6/4/13 23:59,123.8399963,119.0999985,120.7369995,121.4199982,0
6/5/13 23:59,123.4690018,119.8990021,121.4000015,121.6500015,0
6/6/13 23:59,123.0999985,117.25,121.9000015,118,0
6/7/13 23:59,119,106.4199982,118.9700012,111.5,0
6/8/13 23:59,111.4150009,107.3000031,111,108.3000031,0
6/9/13 23:59,108.9899979,88.5,107.8919983,100,0
6/10/13 23:59,110.1009979,95.0019989,100.4369965,106.3499985,0
6/11/13 23:59,109.5999985,104,106.3499985,108.9000015,0
6/12/13 23:59,111.7870026,106.7340012,109,108.1500015,0
6/13/13 23:59,110.3000031,100.5299988,108.776001,104,0
6/14/13 23:59,104.6999969,98,103.9489975,99.97889709,0
6/15/13 23:59,103.6999969,98,100,99.98809814,0
6/16/13 23:59,101.5999985,98.94660187,99.80000305,99.51000214,0
6/17/13 23:59,102.2099991,99,99.90000153,101.6999969,0
6/18/13 23:59,111.1110001,101.0329971,101.9499969,107.4000015,0
6/19/13 23:59,110.2249985,105.7549973,107.0500031,108.25,0
6/20/13 23:59,114.3000031,107.5,108.2509995,110.1500015,0
6/21/13 23:59,114.9899979,107.6849976,111.2900009,109.5,0
6/22/13 23:59,109.9560013,107.5139999,109.5,108.3000031,0
6/23/13 23:59,108.8000031,106.2340012,108.1999969,107.5999985,0
6/24/13 23:59,108.3339996,100.9800034,107.9000015,102.7369995,0
6/25/13 23:59,106.4700012,101.0100021,102.0899963,103.9499969,0
6/26/13 23:59,105.4889984,102.7919998,103.3290024,104,0
6/27/13 23:59,104,101.0999985,104,101.4369965,0
6/28/13 23:59,101.7369995,92.33300018,101.7369995,94.64920044,0
6/29/13 23:59,99.98999786,93,94.66000366,94.9940033,0
6/30/13 23:59,98.12229919,94.22229767,94.99900055,96.61399841,0
7/1/13 23:59,97.66490173,86.29720306,97.51000214,88.05000305,0
7/2/13 23:59,92.30000305,87.51000214,88.05000305,90.13400269,0
7/3/13 23:59,90.98120117,76.97920227,90.40499878,77.52999878,0
7/4/13 23:59,83.10500336,72,78.88999939,80.52580261,0
7/5/13 23:59,80,65.52600098,79.98999786,68.43099976,0
7/6/13 23:59,75,66.81999969,68.50499725,70.27729797,0
7/7/13 23:59,74.56109619,66.62000275,68.74900055,74.56109619,0
7/8/13 23:59,80,72.59999847,76.5,76.51599884,0
7/9/13 23:59,78.30000305,72.51999664,76,76.69400024,0
7/10/13 23:59,87,76.19999695,76.72000122,86.76000214,0
7/11/13 23:59,90.27999878,85.07990265,88,88.98000336,0
7/12/13 23:59,104,88.16600037,88.97899628,93.59490204,0
7/13/13 23:59,98.25,88.06220245,93.98989868,98.1339035,0
7/14/13 23:59,98.69999695,92.86000061,98.69999695,94.69129944,0
7/15/13 23:59,101.9000015,93.11000061,93.60500336,98.40019989,0
7/16/13 23:59,99.86229706,96.14160156,98.89029694,97.45079803,0
7/17/13 23:59,99.97000122,96.18000031,96.70999908,98.5,0
7/18/13 23:59,98.80000305,86.19999695,98.5,90.58000183,0
7/19/13 23:59,95.20010376,87.80000305,90.06890106,92.16999817,0
7/20/13 23:59,93.09999847,89.27110291,92,89.39009857,0
7/21/13 23:59,91.94999695,88,89.8214035,90.75730133,0
