Date,unix_timestamp,open,high,low,close,volume
2015-10-08 13:00:00,1444309200.0,0.0,245.0,0.0,245.0,0.60665438
2015-10-08 14:00:00,1444312800.0,245.0,245.0,244.5,245.0,4.453648931
2015-10-08 15:00:00,1444316400.0,245.0,245.0,244.92,244.92,3.016925828
2015-10-08 16:00:00,1444320000.0,244.92,244.92,244.25,244.25,3.89525246
2015-10-08 17:00:00,1444323600.0,244.25,244.99,244.02,244.99,3.920632003
2015-10-08 18:00:00,1444327200.0,244.99,244.99,244.0,244.0,3.69047209
2015-10-08 19:00:00,1444330800.0,244.0,244.0,244.0,244.0,1.531455679
2015-10-08 20:00:00,1444334400.0,244.0,244.0,243.6,244.0,0.17704918
2015-10-08 21:00:00,1444338000.0,244.0,244.0,243.95,243.95,0.04132231
2015-10-08 22:00:00,1444341600.0,243.95,244.0,243.8,243.95,4.71303031
2015-10-08 23:00:00,1444345200.0,243.95,243.95,243.72,243.95,5.708259431
2015-10-09 00:00:00,1444348800.0,243.95,243.95,243.6,243.6,3.0
2015-10-09 01:00:00,1444352400.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 02:00:00,1444356000.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 03:00:00,1444359600.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 04:00:00,1444363200.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 05:00:00,1444366800.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 06:00:00,1444370400.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 07:00:00,1444374000.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 08:00:00,1444377600.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 09:00:00,1444381200.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 10:00:00,1444384800.0,243.6,243.6,243.6,243.6,0.0
2015-10-09 11:00:00,1444388400.0,243.6,243.75,243.6,243.63,1.0
2015-10-09 12:00:00,1444392000.0,243.63,243.63,243.63,243.63,0.0
2015-10-09 13:00:00,1444395600.0,243.63,244.0,243.63,244.0,3.973254282
2015-10-09 14:00:00,1444399200.0,244.0,244.0,244.0,244.0,4.17182852
2015-10-09 15:00:00,1444402800.0,244.0,244.0,244.0,244.0,0.0
2015-10-09 16:00:00,1444406400.0,244.0,244.0,244.0,244.0,0.0
2015-10-09 17:00:00,1444410000.0,244.0,244.0,243.7,243.7,0.229184
2015-10-09 18:00:00,1444413600.0,243.7,243.7,243.7,243.7,0.0
2015-10-09 19:00:00,1444417200.0,243.7,244.06,243.7,244.06,3.43344122
2015-10-09 20:00:00,1444420800.0,244.06,249.97,244.06,249.97,35.68791657
2015-10-09 21:00:00,1444424400.0,249.97,249.97,244.75,245.39,4.531416175
2015-10-09 22:00:00,1444428000.0,245.39,245.39,245.39,245.39,0.0
2015-10-09 23:00:00,1444431600.0,245.39,245.39,245.39,245.39,0.0008
2015-10-10 00:00:00,1444435200.0,245.39,245.39,245.39,245.39,0.0
2015-10-10 01:00:00,1444438800.0,245.39,245.54,245.39,245.54,8.119226772
2015-10-10 02:00:00,1444442400.0,245.54,245.54,245.51,245.51,0.44
2015-10-10 03:00:00,1444446000.0,245.51,245.51,245.51,245.51,0.0
2015-10-10 04:00:00,1444449600.0,245.51,245.51,244.6,245.45,15.97447591
2015-10-10 05:00:00,1444453200.0,245.45,245.45,245.45,245.45,0.0
2015-10-10 06:00:00,1444456800.0,245.45,245.45,245.45,245.45,0.0
2015-10-10 07:00:00,1444460400.0,245.45,245.45,245.45,245.45,0.0
2015-10-10 08:00:00,1444464000.0,245.45,245.45,245.45,245.45,0.0
2015-10-10 09:00:00,1444467600.0,245.45,245.45,245.45,245.45,0.0
2015-10-10 10:00:00,1444471200.0,245.45,245.45,245.45,245.45,0.0
2015-10-10 11:00:00,1444474800.0,245.45,245.45,244.6,244.6,2.69
2015-10-10 12:00:00,1444478400.0,244.6,244.6,244.6,244.6,0.0
2015-10-10 13:00:00,1444482000.0,244.6,245.18,244.6,245.18,0.997506234
2015-10-10 14:00:00,1444485600.0,245.18,245.18,245.18,245.18,0.0
2015-10-10 15:00:00,1444489200.0,245.18,245.4,245.0,245.37,6.23239377
2015-10-10 16:00:00,1444492800.0,245.37,245.37,245.37,245.37,0.41265196
2015-10-10 17:00:00,1444496400.0,245.37,245.37,245.37,245.37,0.0
2015-10-10 18:00:00,1444500000.0,245.37,245.37,245.37,245.37,0.0
2015-10-10 19:00:00,1444503600.0,245.37,245.37,245.37,245.37,0.0
2015-10-10 20:00:00,1444507200.0,245.37,245.37,245.37,245.37,0.0
2015-10-10 21:00:00,1444510800.0,245.37,245.75,245.37,245.75,0.07252265
2015-10-10 22:00:00,1444514400.0,245.75,245.75,245.75,245.75,0.0
2015-10-10 23:00:00,1444518000.0,245.75,246.3,245.75,246.3,4.41
2015-10-11 00:00:00,1444521600.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 01:00:00,1444525200.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 02:00:00,1444528800.0,246.3,246.3,246.3,246.3,0.08099878
2015-10-11 03:00:00,1444532400.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 04:00:00,1444536000.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 05:00:00,1444539600.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 06:00:00,1444543200.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 07:00:00,1444546800.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 08:00:00,1444550400.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 09:00:00,1444554000.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 10:00:00,1444557600.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 11:00:00,1444561200.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 12:00:00,1444564800.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 13:00:00,1444568400.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 14:00:00,1444572000.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 15:00:00,1444575600.0,246.3,246.3,246.3,246.3,0.0
2015-10-11 16:00:00,1444579200.0,246.3,246.5,245.96,246.5,7.32378358
2015-10-11 17:00:00,1444582800.0,246.5,248.24,246.5,248.24,2.597561964
2015-10-11 18:00:00,1444586400.0,248.24,248.24,248.24,248.24,0.401831387
2015-10-11 19:00:00,1444590000.0,248.24,248.24,248.24,248.24,0.24165162
2015-10-11 20:00:00,1444593600.0,248.24,248.24,248.24,248.24,0.0
2015-10-11 21:00:00,1444597200.0,248.24,248.24,247.77,247.77,0.5953185
2015-10-11 22:00:00,1444600800.0,247.77,248.24,247.77,248.24,2.843825279
2015-10-11 23:00:00,1444604400.0,248.24,249.5,248.24,249.5,0.402811833
2015-10-12 00:00:00,1444608000.0,249.5,249.5,249.0,249.0,0.40160642
2015-10-12 01:00:00,1444611600.0,249.0,249.0,249.0,249.0,0.0
2015-10-12 02:00:00,1444615200.0,249.0,249.0,249.0,249.0,0.0
2015-10-12 03:00:00,1444618800.0,249.0,249.0,248.98,248.98,7.9387
2015-10-12 04:00:00,1444622400.0,248.98,248.98,248.71,248.71,0.23
2015-10-12 05:00:00,1444626000.0,248.71,248.71,248.71,248.71,0.0
2015-10-12 06:00:00,1444629600.0,248.71,248.71,248.71,248.71,0.0
2015-10-12 07:00:00,1444633200.0,248.71,248.71,248.71,248.71,0.0
2015-10-12 08:00:00,1444636800.0,248.71,248.71,248.71,248.71,0.86
2015-10-12 09:00:00,1444640400.0,248.71,248.71,248.71,248.71,0.0
2015-10-12 10:00:00,1444644000.0,248.71,248.71,248.71,248.71,0.41
